fill	x	y	xmin	xmax	ymin	ymax
#828282	3	2	2.875	3.125	1.875	2.125
#D4D4D4	3.5	2	3.375	3.625	1.875	2.125
#606060	2.5	1	2.375	2.625	0.875	1.125
#BBBBBB	3.75	2.5	3.625	3.875	2.375	2.625
#7C7C7C	2.75	1	2.625	2.875	0.875	1.125
#BBBBBB	3.25	1.5	3.125	3.375	1.375	1.625
#AAAAAA	3	1.5	2.875	3.125	1.375	1.625
#686868	2.25	0	2.125	2.375	-0.125	0.125
#474747	2	0	1.875	2.125	-0.125	0.125
#FFFFFF	4.25	3.75	4.125	4.375	3.625	3.875
#FFFFFF	2.25	1.5	2.125	2.375	1.375	1.625
#FFFFFF	4.25	3.25	4.125	4.375	3.125	3.375
#2D2D2D	1.5	0	1.375	1.625	-0.125	0.125
#D4D4D4	2.75	1.5	2.625	2.875	1.375	1.625
#8A8A8A	2.5	0	2.375	2.625	-0.125	0.125
#595959	1.5	1	1.375	1.625	0.875	1.125
#828282	3.25	2	3.125	3.375	1.875	2.125
#D4D4D4	2	2	1.875	2.125	1.875	2.125
#FFFFFF	3.75	2	3.625	3.875	1.875	2.125
#FFFFFF	3.75	2.75	3.625	3.875	2.625	2.875
#9D9D9D	2.75	0	2.625	2.875	-0.125	0.125
#AAAAAA	2.75	2	2.625	2.875	1.875	2.125
#BBBBBB	3.75	2.25	3.625	3.875	2.125	2.375
#FFFFFF	3.75	3	3.625	3.875	2.875	3.125
#BBBBBB	3	0	2.875	3.125	-0.125	0.125
#3C3C3C	1.75	0	1.625	1.875	-0.125	0.125
#FFFFFF	2.5	1.5	2.375	2.625	1.375	1.625
#767676	1	1	0.875	1.125	0.875	1.125
#171717	1.25	0	1.125	1.375	-0.125	0.125
#717171	2	1	1.875	2.125	0.875	1.125
#FFFFFF	4	2.5	3.875	4.125	2.375	2.625
#686868	2.25	1	2.125	2.375	0.875	1.125
#FFFFFF	4	3.75	3.875	4.125	3.625	3.875
#FFFFFF	4	2.75	3.875	4.125	2.625	2.875
#131313	1	0	0.875	1.125	-0.125	0.125
#6C6C6C	1.75	1	1.625	1.875	0.875	1.125
#1F1F1F	0.25	0	0.125	0.375	-0.125	0.125
#7C7C7C	1.25	1	1.125	1.375	0.875	1.125
#FFFFFF	3.25	2.25	3.125	3.375	2.125	2.375
#FFFFFF	3.5	2.25	3.375	3.625	2.125	2.375
#151515	0.75	0	0.625	0.875	-0.125	0.125
#AAAAAA	3	1	2.875	3.125	0.875	1.125
#FFFFFF	2.25	2	2.125	2.375	1.875	2.125
#000000	0.5	0	0.375	0.625	-0.125	0.125
#D4D4D4	2	1.5	1.875	2.125	1.375	1.625
#BBBBBB	0.75	1	0.625	0.875	0.875	1.125
#D4D4D4	3.5	2.5	3.375	3.625	2.375	2.625
#FFFFFF	2.5	2	2.375	2.625	1.875	2.125
#FFFFFF	1.75	1.5	1.625	1.875	1.375	1.625
#171717	0	0	-0.125	0.125	-0.125	0.125
#D4D4D4	0.5	1	0.375	0.625	0.875	1.125
#BBBBBB	0.25	1	0.125	0.375	0.875	1.125
