x	y	showSelected1
3.00987563371216	2	1
3.39480177716271	2	2
2.40993312333129	1	3
3.76019622945513	2.58496250072116	4
2.77815125038364	1	5
3.34478512263266	1.58496250072116	6
3.05192391604611	2	7
3.09166695759568	1.58496250072116	8
2.19312459835446	0	9
1.9731278535997	0	10
4.15794005596477	3.8073549220576	11
2.36361197989214	1.58496250072116	12
4.24206911233894	3.32192809488736	13
3.06929801211553	2	14
3.35907622605926	1.58496250072116	15
1.55630250076729	0	16
2.63042787502502	1.58496250072116	17
2.55388302664387	1	18
2.46834733041216	0	19
1.38021124171161	1	20
3.34966598409663	2	21
2.08278537031645	2	22
1.50514997831991	0	23
3.68223535690256	2	24
1.95424250943932	0	25
3.74241088058049	2.8073549220576	26
2.41497334797082	1	27
3.64679568877847	2.58496250072116	28
2.8228216453031	0	29
2.69019608002851	2	30
3.63255851453267	2.32192809488736	31
3.7826159320316	3	32
2.37839790094814	1	33
2.98000337158375	0	34
1.81291335664286	0	35
3.31365634661803	2	36
3.01661554755718	0	37
2.61804809671209	1.58496250072116	38
2.28330122870355	0	39
3.18269990333604	2	40
3.64933485871214	2.32192809488736	41
1.07918124604762	1	42
2.6954816764902	2	43
2.92427928606188	0	44
1.50514997831991	0	45
1.5910646070265	0	46
2.83569057149243	1.58496250072116	47
1.36172783601759	0	48
2.19312459835446	0	49
2.10037054511756	1	50
1.30102999566398	0	51
3.16761267272753	2	52
2.83884909073726	1	53
1.73239375982297	0	54
2.63648789635337	1	55
3.91724285790747	2.58496250072116	56
2.55870857053317	1	57
2.65801139665711	2	58
2.00432137378264	0	59
1.5910646070265	0	60
2.35024801833416	1	61
1.57978359661681	0	62
2.11058971029925	0	63
1.54406804435028	0	64
3.69072754387037	2.32192809488736	65
1.81954393554187	0	66
2.49136169383427	0	67
2.52504480703685	0	68
2.68841982200271	1	69
2.53529412004277	1	70
4.1026394836913	3.70043971814109	71
2.92992956008459	1.58496250072116	72
3.89608508542329	2.8073549220576	73
1.25527250510331	0	74
3.60336092434838	2	75
1.86923171973098	0	76
1.91381385238372	2	77
0.954242509439325	0	78
2.25285303097989	1	79
2.52633927738984	0	80
1.7160033436348	1	81
3.13385812520334	1.58496250072116	82
3.13161866434913	2	83
1.88649072517248	0	84
2.80208925788173	0	85
1.44715803134222	0	86
2.43775056282039	1	87
3.01029995663981	1.58496250072116	88
2.67486114073781	1	89
1.17609125905568	0	90
2.35793484700045	0	91
2.06818586174616	0	92
1.7481880270062	0	93
1.60205999132796	1	94
1.92427928606188	0	95
2.80002935924413	1	96
1.14612803567824	0	97
2.00432137378264	0	98
1.77815125038364	0	99
0.301029995663981	0	100
1.47712125471966	0	101
1.49136169383427	0	102
0.903089986991944	0	103
1.36172783601759	0	104
2.48713837547719	1	105
2.91328390176042	1.58496250072116	106
1.34242268082221	0	107
1.47712125471966	0	108
1.14612803567824	0	109
2.80753502806885	1	110
2.83821922190763	0	111
0.903089986991944	0	112
1.54406804435028	0	113
2.1846914308176	1	114
2.71683772329952	2	115
1.20411998265592	0	116
1.95424250943932	0	117
1.83884909073726	0	118
2.4345689040342	1	119
1.90848501887865	0	120
1.25527250510331	1	121
3.04336227802113	2	122
3.17143390094301	2.32192809488736	123
3.56371833996568	2.32192809488736	124
1.38021124171161	0	125
2.35024801833416	1	126
1.51851393987789	0	127
1.23044892137827	0	128
2.55266821611219	1	129
2.72509452108147	1	130
1.20411998265592	1	131
0.698970004336019	0	132
3.03422726077055	2	133
1.14612803567824	0	134
0.903089986991944	0	135
2.42813479402879	1	136
2.00860017176192	1	137
1.36172783601759	0	138
3.29994290002277	2	139
2.1430148002541	1	140
2.0899051114394	0	141
2.4345689040342	1	142
2.26245108973043	1	143
2.02530586526477	0	144
3.08635983067475	1	145
0.954242509439325	0	146
2.26245108973043	1	147
2.37106786227174	2	148
1.85125834871908	0	149
2.99956548822598	2	150
1.44715803134222	1	151
0.477121254719662	0	152
1.34242268082221	0	153
2.04139268515823	1.58496250072116	154
1.36172783601759	0	155
2.19033169817029	1	156
1.43136376415899	0	157
1.77815125038364	0	158
0.778151250383644	0	159
1.04139268515822	0	160
1.92941892571429	0	161
1.63346845557959	0	162
1.74036268949424	0	163
1.17609125905568	0	164
2.19865708695442	0	165
3.01953168453126	2	166
2.12710479836481	1	167
0.602059991327962	0	168
1.74036268949424	0	169
2.92479599579791	1	170
1.20411998265592	0	171
1.49136169383427	0	172
2.68574173860226	1	173
3.08600370561838	2	174
1.07918124604762	0	175
1.23044892137827	0	176
2.29003461136252	1	177
1.98677173426624	1	178
1.79239168949825	0	179
0.477121254719662	0	180
1.68124123737559	0	181
1.36172783601759	0	182
1.25527250510331	0	183
1.34242268082221	1	184
1.74036268949424	0	185
1.79934054945358	0	186
1.44715803134222	0	187
0.602059991327962	0	188
1	0	189
0.602059991327962	0	190
1.39794000867204	0	191
1.60205999132796	1	192
1.07918124604762	0	193
1.46239799789896	0	194
2.47421626407626	0	195
2.27875360095283	0	196
1.07918124604762	0	197
1.80617997398389	0	198
